67-3114,4060367.019,1482065.989,4674606.498,725812.100,232670.700,89.790
54-1334,4123400.204,1349470.986,4660073.843,579917.230,210832.880,386.650
67-1331,4050597.001,1478610.833,4684110.317,725735.700,246730.590,95.250
45-4320,4132439.034,1433213.365,4626766.381,656115.810,161884.510,94.170
46-3306,4120630.345,1454893.027,4630521.978,680460.590,167434.400,106.740
45-3313,4139453.431,1408628.358,4628126.489,630589.700,163831.270,158.690
44-4133,4140161.175,1387441.563,4633788.026,610333.470,172259.740,112.410
46-2340,4107431.264,1469838.023,4637499.504,698893.510,177749.920,123.590
44-1212,4135768.364,1367647.267,4643543.770,593058.220,186673.680,129.830
77-3056,4036783.042,1468627.377,4699206.694,720808.290,268957.770,209.590
44-2328,4138943.291,1377781.097,4637753.174,601600.260,178111.430,129.010
46-3327,4125849.002,1448421.052,4627909.832,672640.410,163590.120,98.660
73-4065,4092489.776,1333797.015,4691200.021,575184.220,257169.600,154.050
44-4001,4141649.135,1393555.997,4630648.721,615627.040,167630.880,116.160
63-2018,4103551.392,1334791.972,4681330.735,572516.080,242554.420,168.850
86-4164,4022994.539,1441311.447,4719368.123,699490.820,298761.880,252.200
67-1308,4053820.758,1483447.823,4679814.354,729255.350,240417.890,91.830
44-1101,4135337.092,1362107.244,4645611.492,587963.070,189704.150,180.280
57-1336,4073995.052,1486660.806,4661359.796,725706.720,213119.700,88.990
54-3138,4128033.784,1349981.180,4655582.629,578885.260,204446.390,190.350
44-1062C,4139057.356,1370980.887,4639679.963,595135.790,180969.670,148.310
46-30011,4115696.852,1465128.097,4631697.714,691744.520,169203.850,123.850
67-1001,4044109.027,1479464.693,4689416.880,728661.070,254631.090,101.850
63-4244,4109601.687,1335143.058,4676043.482,570874.750,234681.990,232.880
46-2320,4102573.329,1476833.202,4639554.131,707090.590,180839.730,117.290
53-2221,4119807.790,1340217.377,4665749.943,572341.830,219395.890,291.870
Kecskemet,4109902.634,1471666.350,4634759.691,699815.125,173736.885,132.239
44-4402,4143741.502,1402167.195,4626199.531,623083.160,161095.040,112.070
63-2015,4100375.475,1330467.160,4685292.428,569463.800,248484.220,151.490
73-4013,4087190.852,1330284.326,4696736.774,573591.940,265447.890,125.070
54-3321,4133091.353,1351979.621,4650485.518,579123.100,196997.610,145.550
57-3061,4084613.507,1487836.329,4651747.432,723352.270,198943.940,89.160
35-2012A,4131433.508,1446468.732,4623563.627,668972.760,157231.740,97.120
77-3336,4038700.357,1478228.219,4694434.021,729258.340,262087.070,103.570
35-1054,4142702.253,1416499.708,4622855.562,636969.170,156112.320,162.940
57-3103,4079400.820,1489430.021,4655780.878,726559.910,204917.570,87.900
35-2140,4136457.424,1436582.680,4622159.026,657989.090,155160.500,93.880
46-2237,4097848.627,1482632.591,4641847.853,714114.210,184285.930,105.770
57-1053,4065641.020,1490505.173,4667378.227,732067.320,222081.490,86.710
35-2116,4139604.361,1428697.345,4621792.039,649508.980,154616.940,96.490
46-2256,4093361.824,1485202.231,4644951.325,718007.300,188890.590,97.220
77-1316,4031310.210,1471055.340,4703131.908,724890.210,274839.050,220.190
67-1442,4048179.963,1486049.422,4683850.268,733555.980,246448.880,97.330
44-1069,4140215.968,1363069.651,4640926.351,587279.780,182907.030,117.420
44-4149,4145086.277,1380516.699,4631493.088,602180.920,168943.130,130.390
86-14011,4017397.873,1435180.951,4725904.725,695523.790,308554.770,214.780
67-3059,4058516.076,1491028.841,4673370.010,734888.190,230968.000,88.540
35-2100,4140392.504,1430057.802,4620672.208,650537.670,152983.700,96.120
86-1238,4031239.366,1431661.101,4715653.122,685828.450,314611.710,179.960
44-3219,4144566.423,1373663.654,4634002.605,595873.390,172649.670,147.840
57-1325,4074328.952,1492463.863,4659222.306,731082.960,210046.470,85.250
86-4021,4022793.763,1459478.230,4714225.330,716726.300,291053.430,427.550
63-2001,4106203.282,1327855.915,4681060.677,565095.050,242192.240,228.160
36-1117,4127722.549,1457969.980,4623280.570,681054.690,156859.110,106.690
46-2001,4103127.750,1482745.541,4637181.848,712498.240,177427.770,108.920
46-4514,4112901.690,1475283.706,4630949.635,702255.840,168202.210,115.050
63-4408,4114608.340,1330200.486,4673103.950,564569.510,230396.130,258.960
35-1129,4146908.754,1409936.732,4621091.344,629393.130,153567.850,155.150
86-2069,4015682.186,1440223.261,4725924.900,700849.710,308549.800,285.890
77-1107,4023439.103,1465159.806,4711776.974,721886.970,287583.030,316.140
44-4301,4148283.096,1386138.948,4626993.685,606451.500,162323.010,140.470
35-2408,4136549.091,1444605.327,4619594.262,665542.160,151433.280,94.820
34-2210,4148686.461,1393987.241,4624273.658,613737.830,158315.950,127.410
86-4206,4017751.811,1452843.004,4720322.889,712102.700,300285.070,275.150
44-1012B,4138980.128,1351771.843,4645385.101,577005.170,189498.540,178.240
73-4064,4095452.799,1324004.873,4691387.394,564960.950,257586.560,154.570
53-2402,4126828.774,1335941.337,4660948.070,566010.430,212288.470,398.750
34-2228,4149305.653,1401136.664,4621585.960,620293.190,154348.590,135.580
36-1234,4121731.821,1468781.934,4625202.310,693228.960,159730.540,116.040
47-1113,4089636.349,1492418.896,4645899.750,726044.620,190390.440,87.510
77-3248B,4031664.894,1480256.701,4699876.837,733472.450,270178.410,158.110
67-3243,4050760.301,1493458.977,4679279.839,739717.310,239779.930,88.970
53-4207,4133924.454,1341571.787,4652814.822,569014.280,200494.290,197.700
57-3311,4083288.896,1495413.915,4650487.673,730947.120,197192.160,88.390
67-1246,4040621.187,1488977.218,4689415.977,738791.320,254771.460,104.350
35-2327,4143645.012,1433199.104,4616803.493,652445.370,147347.220,93.010
35-1414,4147146.046,1422116.764,4617085.416,640827.830,147764.400,93.150
86-10521,4011938.010,1431089.504,4731699.026,693439.330,317260.390,183.790
44-1300,4145550.746,1360232.669,4637045.163,582857.230,177249.900,134.920
53-2132,4122640.392,1329664.248,4666507.114,561444.790,220472.150,470.570
63-2014B,4102389.154,1321744.704,4685977.463,560561.320,249641.650,139.590
44-1324,4145412.215,1359181.494,4637451.142,581908.720,177873.400,117.950
46-2444,4101153.276,1489204.927,4636846.650,719248.310,177022.560,98.730
57-1403,4067997.699,1499144.597,4662588.154,739464.360,215124.060,87.100
44-3419,4150059.584,1372365.797,4629494.387,592853.670,166087.970,144.400
Szolnok,4076699.232,1498871.023,4655140.123,736365.412,204095.059,101.429
44-3159,4148850.829,1366412.986,4632316.778,587621.700,170269.140,142.860
35-1309,4150323.607,1414476.718,4616647.402,632569.670,147092.970,141.720
46-4067,4109794.031,1484892.290,4630624.206,712352.290,167835.310,103.890
36-1238,4128426.750,1465892.318,4620173.969,688313.140,152362.950,112.170
67-1211,4042320.036,1494596.420,4686171.533,743548.260,250043.290,94.490
34-1226,4152989.255,1380512.535,4624457.440,599597.370,158683.270,130.910
47-1305,4094420.061,1495229.052,4640819.192,727139.810,182948.420,91.080
57-3200,4078446.398,1500543.288,4653061.338,737376.110,201070.680,84.560
77-3418,4034228.782,1489419.794,4694753.644,741297.030,262725.320,114.330
63-4131,4114437.126,1321739.428,4675522.910,556626.160,234184.410,174.530
57-1236,4062616.291,1501467.128,4666504.447,743416.380,220960.590,86.890
73-4112,4090915.637,1318087.177,4696918.869,560846.250,265908.870,115.890
36-1333,4138363.178,1452374.472,4615573.680,672293.610,145583.070,105.620
43-2212,4142291.494,1345924.967,4644233.002,570398.750,187819.550,246.510
